content_domain,content_id,role_framing,surface_paraphrase,language_register,is_multi_turn,prompt
factual_recall,fr1,direct_question,canonical,formal,False,Could you please tell me: What is the capital of France?
factual_recall,fr1,direct_question,canonical,casual,False,what is the capital of france
factual_recall,fr1,direct_question,canonical,instruction,False,Identify the capital of France.
factual_recall,fr1,direct_question,lexical,formal,False,Could you please tell me: What is the capital city of France?
factual_recall,fr1,direct_question,lexical,casual,False,what is the capital city of france
factual_recall,fr1,direct_question,lexical,instruction,False,Identify the capital city of France.
factual_recall,fr1,direct_question,syntactic,formal,False,Could you please tell me: France's capital is which city?
factual_recall,fr1,direct_question,syntactic,casual,False,france's capital is which city
factual_recall,fr1,direct_question,syntactic,instruction,False,Identify the city that serves as France's capital.
factual_recall,fr1,fill_blank,canonical,formal,False,Could you complete the following: The capital of France is ___.
factual_recall,fr1,fill_blank,canonical,casual,False,fill in: the capital of france is ___.
factual_recall,fr1,fill_blank,canonical,instruction,False,Complete: The capital of France is ___.
factual_recall,fr1,fill_blank,lexical,formal,False,Could you complete the following: The capital city of France is ___.
factual_recall,fr1,fill_blank,lexical,casual,False,fill in: the capital city of france is ___.
factual_recall,fr1,fill_blank,lexical,instruction,False,Complete: The capital city of France is ___.
factual_recall,fr1,fill_blank,syntactic,formal,False,Could you complete the following: France's capital city is ___.
factual_recall,fr1,fill_blank,syntactic,casual,False,fill in: france's capital city is ___.
factual_recall,fr1,fill_blank,syntactic,instruction,False,Complete: France's capital city is ___.
factual_recall,fr1,multi_turn,canonical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying European geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: What is the capital of France?""}]"
factual_recall,fr1,multi_turn,canonical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying European geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""what is the capital of france""}]"
factual_recall,fr1,multi_turn,canonical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying European geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Identify the capital of France.""}]"
factual_recall,fr1,multi_turn,lexical,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying European geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: What is the capital city of France?""}]"
factual_recall,fr1,multi_turn,lexical,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying European geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""what is the capital city of france""}]"
factual_recall,fr1,multi_turn,lexical,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying European geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Identify the capital city of France.""}]"
factual_recall,fr1,multi_turn,syntactic,formal,True,"[{""role"": ""user"", ""content"": ""I'm studying European geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Could you please tell me: France's capital is which city?""}]"
factual_recall,fr1,multi_turn,syntactic,casual,True,"[{""role"": ""user"", ""content"": ""I'm studying European geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""france's capital is which city""}]"
factual_recall,fr1,multi_turn,syntactic,instruction,True,"[{""role"": ""user"", ""content"": ""I'm studying European geography.""}, {""role"": ""assistant"", ""content"": ""Happy to help. What would you like to know?""}, {""role"": ""user"", ""content"": ""Identify the city that serves as France's capital.""}]"
factual_recall,fr2,direct_question,canonical,formal,False,Could you please tell me: What is the capital of Japan?
factual_recall,fr2,direct_question,canonical,casual,False,what is the capital of japan
factual_recall,fr2,direct_question,canonical,instruction,False,Identify the capital of Japan.
factual_recall,fr2,direct_question,lexical,formal,False,Could you please tell me: What is the capital city of Japan?
factual_recall,fr2,direct_question,lexical,casual,False,what is the capital city of japan
factual_recall,fr2,direct_question,lexical,instruction,False,Identify the capital city of Japan.
